head_entity	relation	tail_entity
arsenic	causes	cancer
cataract	isa	disease
tinnitus	affects	hearing
morphine	treats	pain
actin	isa	protein
obesity	diagnoses	overweight
pain	causes	discomfort
melanoma	diagnoses	skin cancer
acute bronchitis	treats	amoxicillin
psd-95	diagnoses	synaptic dysfunction
psd-95	manifestation_of	synaptic dysfunction
psd-95	associated_with	synaptic plasticity
psd-95	associated_with	synaptic function
psd-95	causes	synaptic dysfunction
psd-95	causes	synaptic function
psd-95	treats	synaptic dysfunction
psd-95	treats	synaptic function
psd-95	causes	synaptic plasticity
psd-95	affects	synaptic function
psd-95	affects	synaptic plasticity
ulcerative colitis	causes	inflammatory bowel disease
blood pressure	measured_by	sphygmomanometer
plasma	ingredient_of	blood
protein	ingredient_of	diet
calcium	ingredient_of	diet
asthma	causes	respiratory disease
cataract	causes	visual impairment
cataract	treats	cataract surgery
schizophrenia	affects	patients
p50	causes	dna binding
p50	affects	transcriptional repression
p50	measured_by	dna binding
p50	associated_with	transcriptional repression
hepatitis	causes	liver disease
hemophilia	diagnoses	bleeding disorder
lymphocytic choriomeningitis virus	not_affected	hantavirus pulmonary syndrome
sin nombre virus	affected	hantavirus pulmonary syndrome
whitewater arroyo virus	affected	hantavirus pulmonary syndrome
guanarito virus	affected	hantavirus pulmonary syndrome
sle	diagnoses	systemic lupus erythematosus
blood	part_of	body
amoxicillin	treats	acute bronchitis
spontaneously hypertensive rats	diagnoses	hypertension
spleen	part_of	immune system
cancer	causes	metastasis
prostate	causes	prostate cancer
propranolol	measurement_of	blood pressure
trastuzumab	treats	breast cancer
treatment	interacts_with	patient
male	interacts_with	female
amoxicillin	treats	infection
human papillomavirus	causes	cervical cancer
carbon monoxide	interacts_with	hemoglobin
streptozotocin	causes	diabetes
hiv-1	causes	acquired immune deficiency syndrome
hiv-1	affects	immune system
hiv-1	diagnoses	human immunodeficiency virus infection
hiv-1	causes	immunodeficiency
hiv-1	measurement_of	viral load
hiv-1	part_of	human immunodeficiency virus
brain	part_of	central nervous system
hepatocytes	part_of	liver
adolescent	affects	mental health
trauma	diagnoses	posttraumatic stress disorder
copd	affects	lung
copd	diagnoses	chronic obstructive pulmonary disease
sars-cov-2	causes	covid-19
alzheimer's disease	causes	dementia
alzheimer's disease	affects	brain
alzheimer's disease	diagnoses	cognitive impairment
alzheimer's disease	part_of	neurodegenerative diseases
caries	causes	dental caries
disease	affects	skin
covid-19	causes	coronavirus disease 2019
endometrial cancer	causes	endometrial carcinoma
endometrial cancer	diagnoses	histopathological examination
endometrial cancer	affects	uterus
endometrial cancer	part_of	endometrial carcinoma
endometrial cancer	manifestation_of	uterine cavity
migration	affects	organ grafts
fibronectin	isa	protein
liver	part_of	rat
substantia nigra	part_of	brain
leptin	causes	obesity
parvalbumin	isa	calcium-binding protein
cytokine	isa	protein
epilepsy	affects	brain function
epilepsy	associated_with	seizures
